2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.builder.BankHandler - Parsing started.
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - StateBank{id=b1, name=HonestBank, rating=5, country=BELARUS, deposit=Deposit{depositType=FIXED, depositor='Ivanov, countId='BYHB15261296, amount=0, profitability=0.5, timeConstraints=2021-12}, bankType=COMMERCIAL}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - PrivateBank{id=b2, name=BestBank, rating=8, country=BELARUS, deposit=Deposit{depositType=SAVING, depositor='Ivanova, countId='BYBB11223344, amount=150, profitability=1.0, timeConstraints=2022-08}, stateShare=30}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - StateBank{id=b3, name=MyBank, rating=7, country=BELARUS, deposit=Deposit{depositType=ACCUMULATION, depositor='Petrov, countId='BYMB15264455, amount=2000, profitability=10.0, timeConstraints=2023-12}, bankType=CENTRAL}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - PrivateBank{id=b4, name=CentralBank, rating=4, country=POLAND, deposit=Deposit{depositType=DEMAND, depositor='Kurlovich, countId='POCB11221895, amount=500, profitability=5.0, timeConstraints=2022-02}, stateShare=30}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - PrivateBank{id=b8, name=YorBank, rating=3, country=RUSSIA, deposit=Deposit{depositType=ACCUMULATION, depositor='Krup, countId='RUYB44551895, amount=505, profitability=8.0, timeConstraints=2022-05}, stateShare=30}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - StateBank{id=b11, name=FBIBank, rating=4, country=USA, deposit=Deposit{depositType=ACCUMULATION, depositor='Noris, countId='USFB15264455, amount=2000, profitability=10.0, timeConstraints=2023-12}, bankType=CENTRAL}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - StateBank{id=b13, name=UKBank, rating=5, country=UKRAINE, deposit=Deposit{depositType=PAYMENT, depositor='Demidov, countId='UKUB45991296, amount=1000, profitability=10.0, timeConstraints=2024-01}, bankType=COMMERCIAL}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - PrivateBank{id=b16, name=GekBank, rating=10, country=CHINA, deposit=Deposit{depositType=ACCUMULATION, depositor='Gek, countId='CHGB44551895, amount=505, profitability=8.0, timeConstraints=2022-05}, stateShare=30}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - StateBank{id=b7, name=SaveBank, rating=9, country=RUSSIA, deposit=Deposit{depositType=SAVING, depositor='Gromov, countId='RUSB11399455, amount=2500, profitability=12.0, timeConstraints=2023-06}, bankType=COMMERCIAL}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - PrivateBank{id=b18, name=RabitBank, rating=10, country=RUSSIA, deposit=Deposit{depositType=SAVING, depositor='Rabit, countId='RURB10101010, amount=1000, profitability=99.0, timeConstraints=2042-12}, stateShare=10}
2021-10-31 19:21:36 INFO  com.vchaikovsky.xmlparsing.main.Main - StateBank{id=b5, name=PolBank, rating=10, country=POLAND, deposit=Deposit{depositType=PAYMENT, depositor='Shipok, countId='POPB45991296, amount=1000, profitability=10.0, timeConstraints=2024-01}, bankType=COMMERCIAL}
